in	215036
ar	195865
an	167453
ur	137623
um	131135
er	128118
ri	124122
st	116845
ei	112261
nd	94966
ni	92628
ti	91481
ra	90959
ið	90340
na	87584
ta	87104
sk	77273
ir	77014
en	76367
la	75734
nn	75608
is	72957
ng	70219
og	67051
ka	66683
al	66670
rs	65255
va	65228
at	63446
li	62436
nu	61462
il	59255
re	59243
ns	57763
vi	57584
av	57324
di	56204
ha	55849
ma	55770
he	55624
un	53943
tt	53239
ro	52787
le	52320
me	49848
on	49406
as	49350
ga	48335
am	47698
te	47554
ki	46391
it	46223
se	45911
ru	44808
að	44649
ði	44091
ve	43923
tu	43610
ik	43349
or	42155
rt	42024
sa	41436
el	40684
da	40237
su	39483
ðu	38409
rð	37885
ku	37704
si	37654
ør	36440
ld	35749
es	35350
ll	35252
ne	34320
rf	33731
gu	33096
gi	32920
ða	32589
rk	32471
mi	31724
rí	31644
nt	31351
yr	31017
kr	30419
du	30321
rn	29694
oy	29686
ja	29523
et	29321
fr	29233
ag	28698
rá	28163
ig	27807
ia	27338
im	27207
ev	26805
if	26007
ko	25756
lu	25694
rh	25462
tr	25413
us	25262
af	24829
ár	24448
ak	24080
vu	24058
no	23724
ts	23616
sl	23418
rv	23410
lo	23147
iv	23050
fy	22721
to	22697
ss	22664
be	22636
mu	22615
th	22417
ms	22388
ge	21644
de	21440
gs	21259
ey	21252
rd	21134
rl	20972
ke	20923
fø	20812
so	20439
ðs	20267
gg	20241
tí	19824
pa	19788
ft	19711
ól	19566
gj	19507
rm	19503
om	19390
fe	19187
kk	18984
eg	18777
ie	18777
vn	18668
ol	18541
ór	18371
ul	18233
ut	18144
io	18037
mo	17892
ál	17626
ís	17611
gv	17607
ls	17468
nl	17290
mm	17212
rg	16830
gr	16829
rb	16669
jó	16576
ah	16439
mb	16336
ho	16249
nv	16204
nf	16144
ba	16044
ih	15936
nh	15928
lk	15924
rr	15862
fk	15667
ds	15554
lt	15452
br	15304
ap	15112
kt	15108
tó	15094
fl	14847
gt	14675
ef	14230
ys	14127
øg	14095
pp	14051
em	13991
fó	13968
tv	13863
ks	13852
íð	13800
má	13781
ab	13602
sv	13571
sí	13256
ík	13194
mt	12803
fi	12798
át	12770
ju	12740
út	12506
ad	12484
fo	12275
ae	12081
mf	12054
os	12046
ií	11892
já	11878
mh	11862
ón	11758
jø	11687
sj	11669
rø	11551
gn	11533
yg	11508
øl	11439
go	11272
yn	11261
up	11247
sp	11023
nk	11005
pi	10977
øð	10856
ov	10785
ðv	10779
tl	10713
ek	10700
tf	10667
ml	10659
fa	10632
tá	10615
sm	10583
ær	10513
aa	10411
rú	10387
ní	10359
ví	10320
ug	10193
gh	10188
pr	10162
gl	10120
nm	10084
lv	10079
ok	10054
ít	10031
ót	9936
hi	9925
id	9921
bo	9919
au	9886
mv	9865
ðh	9800
lm	9782
do	9729
ot	9721
tø	9712
ch	9701
ín	9502
sh	9488
ðe	9450
pe	9447
gd	9407
ao	9336
mí	9320
bó	9309
dd	9277
kl	9275
lø	9267
óð	9220
ás	9181
hj	9158
íf	9044
ib	8885
po	8854
tn	8838
óg	8786
tb	8786
vø	8750
co	8698
rj	8697
gf	8600
ai	8484
íg	8381
by	8372
ea	8363
ip	8361
nb	8325
hø	8307
tj	8267
ðf	8250
iá	8176
ív	8158
kj	8151
aí	8137
ic	8119
rp	8016
lí	7991
ðt	7973
ed	7945
vs	7931
ím	7862
op	7768
dr	7734
úr	7663
of	7567
øk	7547
ðr	7435
æt	7422
ua	7232
sf	7215
uf	7158
ya	7126
ðí	7116
tm	7008
ók	6961
ró	6911
bl	6899
ou	6823
øv	6815
my	6798
sø	6773
hv	6768
lf	6717
kv	6707
íb	6691
íh	6691
ac	6687
tý	6677
bý	6638
áv	6628
íl	6505
bú	6427
æl	6351
ep	6350
tg	6341
bi	6230
ca	6202
ná	6117
ue	6014
kn	5965
df	5951
uð	5933
ræ	5921
eb	5883
jo	5801
gm	5783
iu	5688
sb	5664
ús	5653
lá	5625
ob	5593
ry	5544
pu	5526
ýr	5516
vt	5505
vó	5468
mk	5445
bu	5438
tk	5413
yð	5406
ub	5338
íe	5337
ðb	5274
uk	5138
lj	5026
nr	4985
ló	4972
ii	4965
ud	4923
nj	4914
ný	4893
gk	4804
nú	4801
ðm	4798
áð	4796
úg	4773
ce	4750
nc	4746
pl	4712
gb	4693
fj	4687
mp	4681
ðn	4667
ee	4655
yt	4648
nó	4633
eo	4622
hu	4605
fu	4598
yv	4592
je	4589
lh	4568
ðk	4557
ød	4531
áh	4504
ym	4440
od	4434
ðl	4402
ía	4400
uv	4369
áf	4341
lb	4319
pt	4291
læ	4281
gá	4263
gí	4200
dn	4184
øn	4177
sæ	4170
sc	4103
dl	4087
vá	4064
áa	4064
íd	4048
oh	4040
ty	4027
vo	4027
uh	4022
wa	4014
ýs	3994
aá	3984
md	3920
sn	3874
án	3852
oe	3828
